stu_id,x1sex,x1race,x1stdob,x1txmtscor,x1paredu,x1hhnumber,x1famincome,x1poverty185,x1ses,x1stuedexpct,x1paredexpct,x1region,x4hscompstat,x4evratndclg,x4hs2psmos
15098,2,5,199508,51.0965,3,5,3,1,-0.3255,10,10,2,1,1,2
15099,2,8,199503,64.826,4,5,6,0,0.4462,10,10,3,1,1,3
15100,2,8,199411,36.201,3,7,3,1,0.0676,6,6,3,1,1,2
15101,2,8,199501,58.6455,4,4,5,0,1.009,6,6,3,1,1,2
15102,2,6,199404,46.7564,-8,-8,-8,-8,-0.0758,11,-8,1,1,1,1
15103,1,5,199403,43.824,2,4,2,1,-0.87,6,2,2,1,1,3
15104,2,3,199505,30.575,2,5,4,0,0.1448,2,11,3,1,0,-7
15106,1,8,199504,52.066,4,3,7,0,0.7961,8,6,3,-8,-8,-8
15107,1,8,199301,46.4679,-8,-8,-8,-8,-0.0891,8,-8,3,-8,-8,-8
15108,2,5,199410,49.5078,5,4,13,0,1.4352,9,6,4,1,1,3
15109,1,8,199410,55.5301,3,5,3,1,-0.058,8,10,3,-8,-8,-8
15110,1,6,199401,48.7567,4,4,8,0,0.7614,4,6,2,1,1,6
15111,1,3,199503,41.8754,4,6,1,1,0.1859,6,8,2,1,1,3
15112,2,5,199501,49.8056,5,6,2,1,-0.1506,6,10,3,1,1,24
15113,1,6,199410,48.2619,-8,-8,-8,-8,-0.366,10,-8,4,1,1,3
15114,1,-9,199400,-8,-8,-8,-8,-8,-8,-8,-8,1,1,1,2
15115,2,3,199411,41.4325,2,5,3,0,-0.0506,10,10,3,1,1,3
15116,2,4,199410,51.8246,2,6,2,1,-0.8387,11,11,3,1,1,3
15117,1,5,199505,44.9667,3,7,3,1,-0.4843,2,8,4,-8,-8,-8
15119,2,8,199409,58.7082,4,4,5,0,1.3397,6,8,3,1,1,3
15120,2,8,199504,58.8067,-8,-8,-8,-8,0.3488,10,-8,3,-8,-8,-8
15121,1,-9,199400,-8,-8,-8,-8,-8,-8,-8,-8,3,1,1,4
15122,2,5,199509,59.973,2,4,2,1,-0.8103,8,8,1,1,1,2
15123,2,3,199410,44.4036,3,4,5,0,-0.167,10,11,3,1,1,0
15124,2,8,199504,59.2066,4,4,5,0,0.758,11,6,4,1,1,28
15126,2,8,199505,56.0389,2,3,3,0,-0.6333,6,8,3,-8,-8,-8
15127,1,8,199501,61.2311,-8,-8,-8,-8,-0.1095,8,-8,1,1,1,3
15128,1,8,199503,70.698,2,3,3,0,0.2072,11,6,3,1,1,3
15129,1,5,199409,33.2838,1,5,2,1,-0.9992,4,10,3,1,0,-7
15130,1,8,199408,54.8386,4,3,10,0,0.5195,6,6,3,-8,-8,-8
15131,1,8,199405,57.5986,-8,-8,-8,-8,0.0239,6,-8,3,1,1,2
15132,1,8,199505,53.6169,-8,-8,-8,-8,0.384,2,-8,3,-8,-8,-8
15133,1,5,199407,41.4992,2,4,2,1,-0.5402,11,3,1,1,1,0
15134,2,3,199411,58.6141,4,5,6,0,0.5678,8,10,3,1,1,3
15135,2,8,199400,-8,-8,-8,-8,-8,-8,-8,-8,3,1,1,20
15136,2,8,199507,66.2356,5,9,2,1,0.5305,6,6,2,2,1,14
15137,2,5,199503,28.8301,3,3,2,1,-0.473,2,8,4,1,1,1
15138,1,8,199412,79.7604,7,3,12,0,1.6654,10,10,3,1,1,4
15139,1,5,199406,56.7889,4,5,4,0,0.1377,7,10,1,1,1,3
15140,1,5,199404,49.2816,-8,-8,-8,-8,-0.8017,2,-8,3,-8,-8,-8
15141,2,5,199407,46.6848,2,10,2,1,-0.8602,11,8,1,-8,-8,-8
15142,1,3,199501,48.0047,5,5,5,0,0.1801,9,6,1,1,1,2
15143,1,2,199412,82.1876,4,4,7,0,1.332,8,10,2,1,1,2
15144,2,5,199410,50.5332,-8,-8,-8,-8,0.1406,10,-8,3,-8,-8,-8
15145,2,3,199504,43.5765,-8,-8,-8,-8,0.0188,2,-8,1,1,0,-7
15146,1,8,199300,-8,2,4,3,0,-8,-8,2,4,-8,-8,-8
15147,2,8,199508,59.0887,2,7,1,1,-0.8971,7,8,2,1,0,-7
15148,1,8,199501,41.1084,2,3,1,1,-0.4948,6,6,1,1,1,3
15149,2,6,199404,41.7314,2,4,1,1,-1.2553,2,2,2,1,0,-7
15150,2,2,199502,59.1498,-8,-8,-8,-8,1.1624,8,-8,2,-8,-8,-8
15151,2,5,199408,45.8382,2,3,2,1,-0.4728,8,10,1,1,1,3
15152,1,5,199504,62.1115,2,5,3,1,0.1964,2,6,3,-8,-8,-8
15153,1,8,199410,58.0841,5,6,7,0,0.9241,8,6,2,1,1,3
15154,1,3,199501,37.15,2,3,2,1,-0.3182,10,4,2,1,0,-7
15155,1,8,199505,37.3999,4,4,6,0,0.2582,2,2,4,2,1,1
15156,1,2,199412,74.2284,-8,-8,-8,-8,0.6576,6,-8,2,1,1,2
15157,1,5,199402,46.6937,1,3,2,1,-1.0941,2,2,3,-8,-8,-8
15158,2,2,199500,-8,2,4,6,0,-8,-8,8,2,1,1,3
15159,1,5,199405,62.3969,7,4,11,0,2.4364,10,10,4,1,1,2
15160,1,5,199410,58.8289,2,4,1,1,-0.271,11,8,1,-8,-8,-8
15161,1,8,199409,50.1033,4,4,5,0,-0.08,2,6,3,3,1,18
15162,2,3,199504,50.5347,2,3,4,0,-0.4682,8,6,2,1,1,1
15163,1,8,199410,41.5587,7,4,6,0,1.5406,10,6,3,-8,-8,-8
15164,2,2,199507,71.9373,5,5,6,0,1.127,10,10,2,1,1,3
15165,1,5,199209,28.6717,1,5,1,1,-1.3407,2,6,3,-8,-8,-8
15166,2,8,199500,-8,5,3,10,0,-8,-8,10,1,-8,-8,-8
15168,2,8,199409,44.6102,2,5,3,0,-0.6714,2,4,2,1,1,15
15169,1,8,199506,50.0757,4,4,6,0,0.3183,10,10,2,1,1,2
15171,2,8,199506,65.0936,4,5,10,0,1.0127,6,6,2,1,1,28
15172,2,8,199508,52.164,5,4,6,0,0.6306,11,4,3,1,1,3
15173,1,-9,199400,-8,-8,-8,-8,-8,-8,-8,-8,3,-8,-8,-8
15174,2,3,199505,48.137,2,4,2,1,-0.5019,10,10,3,1,1,0
15175,2,8,199507,53.8645,5,4,7,0,0.9351,2,6,3,1,1,3
15176,2,8,199410,42.9332,-8,-8,-8,-8,0.4136,11,-8,4,-8,-8,-8
15177,1,8,199407,49.6247,5,5,6,0,1.3892,8,6,3,1,1,3
15178,1,8,199401,37.6083,-8,-8,-8,-8,0.4001,10,-8,2,1,1,3
15179,1,8,199505,44.0699,4,3,2,1,0.4396,10,10,1,1,1,28
15180,2,5,199505,39.2757,-8,-8,-8,-8,-1.4044,2,-8,4,1,1,3
15181,2,6,199508,59.5937,7,3,13,0,1.4612,8,10,4,1,1,4
15182,1,8,199410,53.0835,4,5,8,0,0.7614,6,6,2,1,1,3
15183,2,8,199312,54.7282,2,4,1,1,-0.8498,2,6,2,-8,-8,-8
15184,2,3,199407,38.8988,-8,-8,-8,-8,-0.3554,2,-8,3,3,0,-7
15185,2,8,199512,57.625,5,5,9,0,1.8041,10,10,1,1,1,3
15186,1,8,199502,35.8476,-8,-8,-8,-8,-0.3599,8,-8,2,1,0,-7
15187,1,2,199506,45.4719,-8,-8,-8,-8,-0.2463,2,-8,2,-8,-8,-8
15188,2,4,-9,-8,-8,-8,-8,-8,-8,-8,-8,1,1,1,3
15189,2,3,-9,-8,-8,-8,-8,-8,-8,-8,-8,1,-8,-8,-8
15190,1,3,199501,34.3617,3,4,3,1,-0.4122,6,8,2,1,1,7
15191,2,6,199506,66.1879,4,3,5,0,0.3239,8,8,1,1,1,1
15192,1,8,199506,56.5048,4,5,5,0,0.8559,6,6,2,1,1,3
15193,2,5,199412,29.0866,3,4,3,0,-0.4642,11,11,3,-8,-8,-8
15194,2,2,199501,50.0983,2,5,4,0,-0.6401,6,11,4,1,0,-7
15195,1,8,199410,48.6507,2,4,1,1,-1.3184,2,4,3,2,1,-9
15196,1,8,199400,-8,2,4,3,0,-8,-8,10,2,1,0,-7
15198,2,8,199503,58.7818,2,3,4,0,-0.1941,6,6,3,-8,-8,-8
15199,2,6,199402,32.627,-8,-8,-8,-8,-0.204,11,-8,2,1,0,-7
15200,2,5,199501,69.197,3,8,1,1,-1.1103,10,8,1,1,1,2
15201,2,8,199503,38.7956,2,4,2,1,-0.4023,11,4,4,1,1,3
15202,1,2,199403,49.7016,-8,-8,-8,-8,0.2046,6,-8,3,1,1,2
15203,1,5,199410,70.4104,2,5,3,0,-0.3734,6,8,2,1,1,3
15204,1,6,199502,64.2126,3,3,7,0,-0.2429,10,8,4,1,1,4
15205,1,8,199402,60.4596,2,3,1,1,-1.0811,8,8,3,2,1,16
15206,1,8,199501,37.5409,3,4,2,1,-0.5493,11,6,2,1,0,-7
15207,2,8,199501,48.3786,-8,-8,-8,-8,0.1762,11,-8,3,1,1,15
15208,1,6,199412,50.7871,2,5,2,1,-0.3624,6,8,3,1,0,-7
15209,2,2,199502,40.8062,4,4,5,0,0.2954,11,6,2,1,1,3
15210,1,8,199501,45.4517,2,4,13,0,0.4753,11,6,4,-8,-8,-8
15211,2,8,199507,76.8051,7,3,13,0,2.2581,10,10,3,1,1,3
15212,1,8,199504,42.5957,-8,-8,-8,-8,0.3135,4,-8,1,1,1,2
15213,2,8,199403,32.5456,3,3,4,0,0.0974,11,2,4,-8,-8,-8
15214,2,8,199308,28.455,-8,-8,-8,-8,-0.6232,11,-8,3,3,0,-7
15215,2,5,199503,48.5318,1,5,1,1,-1.6616,8,8,4,1,0,-7
15216,2,6,199507,40.174,2,4,3,0,-0.5789,11,4,4,1,1,3
15217,2,6,199507,60.9745,4,5,7,0,0.504,11,8,3,1,1,2
15218,1,8,199403,44.5906,2,2,2,1,-0.8837,6,11,3,1,0,-7
15219,2,8,199506,48.7334,4,5,6,0,0.942,8,6,2,1,1,3
15220,1,3,199506,68.5389,7,5,13,0,1.7484,10,10,2,1,1,3
15221,1,6,199503,52.2641,-8,-8,-8,-8,0.2691,6,-8,2,1,1,15
15222,1,8,199506,52.2312,3,4,4,0,0.3358,11,6,2,1,1,3
15223,1,8,199405,53.1782,4,4,13,0,0.7132,6,6,3,1,1,3
15224,1,2,199406,52.6601,-8,-8,-8,-8,-0.6599,3,-8,1,3,0,-7
15225,1,3,199409,52.3277,5,4,4,0,0.4262,9,10,1,-8,-8,-8
15226,2,8,199411,61.2895,2,3,3,0,-0.5628,11,4,4,1,1,3
15227,1,8,199501,40.6571,-8,-8,-8,-8,0.0375,6,-8,3,-8,-8,-8
15229,1,8,199402,39.4189,2,2,3,0,-0.5628,2,2,2,1,1,20
15230,2,-9,199400,-8,-8,-8,-8,-8,-8,-8,-8,3,1,1,3
15231,1,3,199504,47.8812,2,2,1,1,-1.3184,6,2,4,1,0,-7
15232,1,8,199409,42.4244,2,3,6,0,-0.1864,2,2,1,-8,-8,-8
15233,1,8,199303,33.9045,-8,-8,-8,-8,-0.7821,11,-8,3,-8,-8,-8
15234,1,8,199503,39.5599,-8,-8,-8,-8,0.2451,8,-8,3,1,1,3
15235,2,4,199410,52.0779,-8,-8,-8,-8,-0.9966,4,-8,2,1,1,4
15236,2,6,199507,33.5697,-8,-8,-8,-8,-0.3607,10,-8,2,-8,-8,-8
15237,2,-9,199500,-8,-8,-8,-8,-8,-8,-8,-8,1,1,1,2
15238,1,8,199507,46.9284,4,3,4,0,-0.1804,10,6,3,1,1,3
15239,1,8,199503,53.5146,-8,-8,-8,-8,0.0236,2,-8,2,1,1,2
15240,1,8,199508,28.2585,-8,-8,-8,-8,-0.4727,2,-8,3,2,0,-7
15241,2,4,-9,-8,-8,-8,-8,-8,-8,-8,-8,3,1,0,-7
15242,1,6,199412,60.5212,3,3,2,0,-0.5434,6,6,2,1,1,3
15243,1,8,199506,61.9145,2,3,13,0,0.4462,8,8,3,1,1,3
15244,1,6,199507,45.6048,-8,-8,-8,-8,-0.8168,4,-8,3,-8,-8,-8
15245,2,8,199506,57.3117,3,4,5,0,0.394,4,4,2,1,0,-7
15246,2,3,199307,40.8361,3,6,2,1,-0.4075,2,2,2,-8,-8,-8
15247,2,6,199502,48.4151,3,3,9,0,0.188,8,8,1,1,1,2
15248,1,8,199411,47.2076,2,4,3,0,-0.0946,11,10,2,1,0,-7
15249,2,3,199501,26.3993,5,6,6,0,1.206,10,10,4,1,1,14
15250,2,8,199505,61.0676,4,2,1,1,-0.0274,8,6,2,1,1,2
15251,1,8,199409,32.7735,4,4,7,0,0.7961,4,4,3,1,1,3
15252,1,8,199412,55.3721,4,5,8,0,0.5161,2,4,2,-8,-8,-8
15253,1,5,199510,54.5569,3,5,3,0,-0.2878,11,8,1,1,1,3
15254,2,4,199508,47.7244,2,3,2,1,-0.6665,10,8,2,-8,-8,-8
15255,1,8,199412,60.7789,7,7,13,0,1.6429,8,10,2,1,1,3
15257,2,6,199410,58.1945,2,3,4,0,0.1072,10,6,3,-8,-8,-8
15258,2,5,199501,44.5747,4,5,6,0,0.4926,10,6,3,1,1,3
15259,1,8,199501,66.3187,4,4,9,0,0.9503,8,10,3,1,1,3
